what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1294608605923
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1294608605924
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1294608606073
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1294608606114
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1294608606142
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1294608606226
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1294608606234
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1294608606238
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1294608606264
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294608612348
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1294608612356
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1294608612378
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1294608612387
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1294608613036
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.400.v201005270700,"org.eclipse.jst.j2ee.ejb",1294608613081
started,bundle,org.eclipse.jst.jee.ejb,1.0.300.v201004191420,"org.eclipse.jst.jee.ejb",1294608613102
started,bundle,org.eclipse.jst.jee.web,1.0.300.v201004280739,"org.eclipse.jst.jee.web",1294608613110
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1294608613653
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.300.v201005200151,"org.eclipse.wst.jsdt.web.support.jsp",1294608618447
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294608618677
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294608618986
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294608619085
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294608622293
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1294608622362
no handler,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1294608628554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608640274
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1294608640431
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1294608640435
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1294608640444
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1294608640464
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1294608643745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608643804
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1294608643832
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1294608644060
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1294608644452
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1294608644547
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1294608644611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608644731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608651096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608652527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608664656
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294608664724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608668666
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1294608673162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608673217
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1294608680875
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1294608680876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608680959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608684243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608685739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608692804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608695329
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294608697867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608697888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608708634
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294608716387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608716404
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294608722201
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294608736223
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1294608740249
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1294608740256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608740844
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1294608742829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294608742829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608742859
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1294608745963
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1294608745980
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1294608746016
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1294608746025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608754851
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1294608813864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608813909
error,log,,,"Server Tomcat v6.0 Server at localhost (2) failed to start.",1294608814531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608814678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608821084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608923977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608959346
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294608959410
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294608964811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608966345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294608987957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608987995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294608995716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294609020002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609020019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609030815
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1294609032263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609032308
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1294609032628
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1294609032794
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1294609033327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1294609039333
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294609040757
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1294609041165
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1294609051585
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609064153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609080442
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294609080706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609085038
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1294609094163
started,bundle,org.eclipse.rse.core,3.1.101.v201009071110,"org.eclipse.rse.core",1294609094215
started,bundle,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui",1294609094384
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1294609094503
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1294609094504
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1294609094553
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1294609094554
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1294609094590
started,bundle,org.eclipse.rse.services.local,2.1.201.v201009071110,"org.eclipse.rse.services.local",1294609094599
started,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1294609100761
started,bundle,org.eclipse.jst.server.ui,1.1.100.v20100511,"org.eclipse.jst.server.ui",1294609124231
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609128699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609133389
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1294609270770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609270819
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1294609273508
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609278800
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609278892
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1294609279149
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609294162
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294609300756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609302663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609343732
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294609343866
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1294609344079
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294609344176
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1294609347382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609357253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294609470873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294610413508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668027017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668259801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294674238522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294674239794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755233156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755234975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755235130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755243578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755252186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755265707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755268092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294755270921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761698310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761698966
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294761703082
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1294761706431
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1294761706459
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1294761706578
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1294761706663
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1294761706706
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1294761706801
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1294761706848
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1294761706848
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1294761706878
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1294761706888
